User[all-users],GestureType[all-gesture-types],RandomIteration[1to10],#ofTrainingExample[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
22,exclamation_point,2,7,32,22-H01-2;22-H01-2;22-H09-2;22-H10-2;22-I03-2;22-I10-2;22-N05-2;22-N06-2;22-P04-2;22-P03-2;22-T03-2;22-T09-2;22-X08-2;22-X06-2;22-arrowhead06-2;22-arrowhead07-2;22-exclamation_point01-2;22-asterisk03-2;22-exclamation_point09-2;22-exclamation_point07-2;22-five_point_star05-2;22-five_point_star10-2;22-half_note04-2;22-half_note09-2;22-line03-2;22-line02-2;22-null09-2;22-null08-2;22-pitchfork02-2;22-pitchfork07-2;22-six_point_star08-2;22-six_point_star09-2;,22-exclamation_point10,I,0,0.736569,22-I10,I10;0.736569;I10;0.736566;I10;0.728624;I10;0.725807;I03;0.723649;I03;0.708263;H10;0.70728;I03;0.70447;I03;0.702242;H10;0.68781;H10;0.685282;H09;0.678956;H10;0.678294;H09;0.669668;I03;0.666816;I03;0.666194;N06;0.665919;H01;0.664927;H01;0.664927;N06;0.663665;H01;0.660459;H01;0.660459;T03;0.656222;I03;0.6562;I03;0.654905;H09;0.65127;H09;0.650798;N06;0.65043;T09;0.643773;N06;0.643051;H01;0.642473;H01;0.642473;H01;0.640331;H01;0.640331;N05;0.638781;N05;0.630587;I10;0.623694;I10;0.622819;I10;0.622433;I10;0.621557;H10;0.620913;H09;0.618014;N05;0.617952;N05;0.617764;I03;0.612928;H09;0.612561;I03;0.610381;H01;0.605879;H01;0.605879;H10;0.605569;
22,line,1,8,32,22-D10-1;22-D03-1;22-H03-1;22-H05-1;22-I08-1;22-I06-1;22-N10-1;22-N02-1;22-T01-1;22-P02-1;22-T04-1;22-X01-1;22-X06-1;22-X10-1;22-arrowhead08-1;22-arrowhead02-1;22-asterisk09-1;22-asterisk06-1;22-exclamation_point06-1;22-exclamation_point04-1;22-five_point_star04-1;22-five_point_star10-1;22-half_note02-1;22-half_note06-1;22-line06-1;22-line02-1;22-null04-1;22-null05-1;22-pitchfork09-1;22-pitchfork08-1;22-six_point_star04-1;22-six_point_star08-1;,22-line05,exclamation_point,0,0.990813,22-exclamation_point06,exclamation_point06;0.990813;exclamation_point06;0.99063;exclamation_point06;0.989367;exclamation_point06;0.98866;line06;0.983873;line06;0.981911;line02;0.966581;exclamation_point04;0.941497;exclamation_point04;0.940271;arrowhead02;0.692634;arrowhead08;0.691258;arrowhead02;0.681759;arrowhead08;0.673339;H03;0.647445;N02;0.643127;H03;0.6425;pitchfork09;0.63975;N02;0.638926;exclamation_point04;0.63572;exclamation_point06;0.635641;exclamation_point04;0.634982;half_note06;0.634256;exclamation_point06;0.633625;T04;0.633321;T04;0.63202;half_note06;0.630964;N10;0.630742;T01;0.629569;N10;0.628507;H05;0.618162;H05;0.615653;half_note02;0.606763;P02;0.605332;H03;0.603634;half_note02;0.603556;T04;0.603386;pitchfork09;0.602502;H05;0.600992;T01;0.599832;T04;0.59873;H05;0.597252;T01;0.59569;H03;0.594571;pitchfork09;0.593257;H05;0.589984;H03;0.588908;H05;0.587984;N02;0.587478;H03;0.583989;N02;0.583052;
22,five_point_star,2,8,32,22-D06-2;22-D07-2;22-H08-2;22-H04-2;22-I08-2;22-I05-2;22-N07-2;22-N04-2;22-P08-2;22-P02-2;22-T05-2;22-T05-2;22-X03-2;22-X06-2;22-arrowhead04-2;22-arrowhead08-2;22-asterisk05-2;22-asterisk05-2;22-exclamation_point06-2;22-exclamation_point02-2;22-five_point_star04-2;22-five_point_star05-2;22-line01-2;22-line01-2;22-line04-2;22-null01-2;22-null10-2;22-null04-2;22-pitchfork02-2;22-pitchfork03-2;22-six_point_star10-2;22-six_point_star09-2;,22-five_point_star03,five_point_star,1,0.876310,22-five_point_star04,five_point_star04;0.87631;asterisk05;0.812373;asterisk05;0.812373;five_point_star05;0.726098;asterisk05;0.724357;asterisk05;0.724357;N04;0.714924;asterisk05;0.714645;asterisk05;0.714645;six_point_star09;0.714104;asterisk05;0.694629;asterisk05;0.694629;six_point_star10;0.688658;asterisk05;0.685977;asterisk05;0.685977;N07;0.685166;N07;0.681173;six_point_star09;0.678586;N07;0.677672;N07;0.674112;I08;0.672253;N07;0.666457;asterisk05;0.663794;asterisk05;0.663794;I05;0.660961;N04;0.66064;H04;0.65832;null04;0.654159;N04;0.653141;N07;0.652873;I05;0.649592;asterisk05;0.648122;asterisk05;0.648122;six_point_star10;0.647048;null10;0.646721;I08;0.646453;asterisk05;0.646171;asterisk05;0.646171;six_point_star09;0.641418;H08;0.640892;six_point_star10;0.632502;N04;0.632268;N04;0.63143;I08;0.624602;asterisk05;0.621793;asterisk05;0.621793;asterisk05;0.616058;asterisk05;0.616058;H08;0.611618;asterisk05;0.610842;
22,H,1,9,32,22-D08-1;22-D05-1;22-H08-1;22-H10-1;22-I04-1;22-I10-1;22-N05-1;22-N05-1;22-P03-1;22-T01-1;22-T04-1;22-T08-1;22-X08-1;22-X04-1;22-arrowhead03-1;22-arrowhead05-1;22-asterisk09-1;22-asterisk05-1;22-exclamation_point03-1;22-exclamation_point09-1;22-five_point_star08-1;22-five_point_star04-1;22-half_note08-1;22-half_note09-1;22-line04-1;22-line07-1;22-null07-1;22-null07-1;22-pitchfork06-1;22-pitchfork08-1;22-six_point_star10-1;22-six_point_star03-1;,22-H06,H,1,0.928876,22-H08,H08;0.928876;H08;0.893564;H10;0.844804;I04;0.842255;H08;0.830038;H10;0.80374;H08;0.796814;H10;0.795732;I04;0.775658;I10;0.774254;H10;0.767242;N05;0.747715;N05;0.747715;I04;0.741123;I04;0.735704;I10;0.727108;N05;0.725895;N05;0.725895;six_point_star03;0.696954;N05;0.679631;N05;0.679631;N05;0.679308;N05;0.679308;six_point_star10;0.676501;H10;0.676121;six_point_star03;0.675972;H10;0.675682;N05;0.674536;N05;0.674536;H08;0.6739;N05;0.672163;N05;0.672163;H08;0.668357;H10;0.665778;I10;0.663276;I04;0.662367;H08;0.660507;I10;0.655701;H08;0.652064;asterisk09;0.642154;I04;0.641676;H10;0.639337;N05;0.638948;N05;0.638948;H10;0.638207;N05;0.636388;N05;0.636388;H08;0.634562;I10;0.630271;I10;0.62983;
22,H,2,9,32,22-H01-2;22-D08-2;22-H10-2;22-H08-2;22-I07-2;22-I07-2;22-N09-2;22-N09-2;22-P10-2;22-T01-2;22-T05-2;22-T05-2;22-X10-2;22-X07-2;22-arrowhead09-2;22-arrowhead10-2;22-asterisk07-2;22-asterisk02-2;22-exclamation_point05-2;22-exclamation_point03-2;22-half_note01-2;22-five_point_star08-2;22-half_note07-2;22-line01-2;22-line07-2;22-line05-2;22-pitchfork01-2;22-null07-2;22-six_point_star01-2;22-pitchfork02-2;22-six_point_star05-2;22-six_point_star09-2;,22-H05,H,1,0.823185,22-H08,H08;0.823185;N09;0.821704;N09;0.821704;H08;0.791484;H08;0.789837;H08;0.768469;H01;0.761614;I07;0.758128;I07;0.758128;I07;0.754849;I07;0.754849;N09;0.753273;N09;0.753273;N09;0.741419;N09;0.741419;H01;0.738552;N09;0.733956;N09;0.733956;H01;0.73163;H10;0.708775;H01;0.708322;H10;0.707938;H08;0.706933;N09;0.699137;N09;0.699137;H01;0.697482;N09;0.687043;N09;0.687043;H10;0.683014;H08;0.673875;H10;0.667046;H08;0.666996;H10;0.66482;H10;0.662591;H01;0.661656;I07;0.661495;I07;0.661495;H08;0.660736;H01;0.65986;H10;0.653768;H10;0.65204;N09;0.649417;N09;0.649417;H01;0.639252;asterisk02;0.639045;H08;0.637386;H08;0.634623;H01;0.6267;asterisk07;0.621948;I07;0.619577;
28,X,1,1,32,28-D02-1;28-D05-1;28-H06-1;28-H10-1;28-I07-1;28-I10-1;28-N02-1;28-N10-1;28-P04-1;28-P05-1;28-X01-1;28-T03-1;28-X07-1;28-X02-1;28-arrowhead03-1;28-arrowhead08-1;28-asterisk03-1;28-asterisk07-1;28-exclamation_point06-1;28-exclamation_point06-1;28-five_point_star03-1;28-five_point_star09-1;28-half_note08-1;28-line01-1;28-line10-1;28-line10-1;28-null07-1;28-null10-1;28-six_point_star01-1;28-pitchfork10-1;28-six_point_star09-1;28-six_point_star10-1;,28-X03,X,1,0.932271,28-X07,X07;0.932271;X01;0.924147;X02;0.911075;X01;0.87409;X02;0.873103;X07;0.869249;X02;0.863687;X07;0.844371;X02;0.843194;X07;0.834763;X01;0.825879;X01;0.820927;N02;0.805767;N10;0.799435;arrowhead03;0.778465;arrowhead03;0.771543;asterisk07;0.762755;N10;0.759374;arrowhead08;0.755521;T03;0.74752;N02;0.73651;pitchfork10;0.719874;H06;0.717962;asterisk07;0.716531;asterisk03;0.706164;null07;0.703945;asterisk03;0.702789;null10;0.702788;pitchfork10;0.697431;null07;0.692434;H10;0.690625;H10;0.689885;null10;0.68976;I07;0.684537;asterisk03;0.681143;H06;0.679138;T03;0.676935;I10;0.659682;D02;0.658851;I10;0.657622;asterisk03;0.655023;asterisk07;0.645978;asterisk07;0.645886;asterisk03;0.641365;asterisk03;0.640607;I07;0.639226;asterisk07;0.636383;H06;0.631833;asterisk03;0.631601;arrowhead03;0.630503;
28,five_point_star,2,1,32,28-D03-2;28-D07-2;28-H10-2;28-H05-2;28-I07-2;28-N01-2;28-N05-2;28-N05-2;28-P06-2;28-P08-2;28-T05-2;28-T04-2;28-X06-2;28-X07-2;28-arrowhead05-2;28-arrowhead04-2;28-asterisk04-2;28-asterisk05-2;28-exclamation_point03-2;28-exclamation_point10-2;28-five_point_star07-2;28-five_point_star05-2;28-line01-2;28-half_note04-2;28-line07-2;28-null01-2;28-null04-2;28-null07-2;28-pitchfork04-2;28-pitchfork02-2;28-six_point_star02-2;28-six_point_star04-2;,28-five_point_star08,five_point_star,1,0.888553,28-five_point_star07,five_point_star07;0.888553;five_point_star05;0.854365;asterisk05;0.849967;asterisk04;0.838072;asterisk05;0.837779;asterisk04;0.807206;asterisk04;0.766028;asterisk04;0.752819;asterisk05;0.724307;asterisk05;0.693283;six_point_star02;0.681778;asterisk04;0.679801;six_point_star04;0.677317;N01;0.675827;asterisk04;0.669004;asterisk05;0.668469;asterisk04;0.66681;asterisk04;0.665334;asterisk05;0.663087;asterisk04;0.662876;H10;0.658726;N01;0.655134;N05;0.652399;N05;0.652399;null04;0.652392;asterisk04;0.652257;asterisk05;0.651385;H05;0.647896;asterisk05;0.645125;null07;0.644235;H10;0.643894;six_point_star04;0.643714;N01;0.643599;N01;0.643289;N05;0.642756;N05;0.642756;H05;0.641882;asterisk05;0.639748;null01;0.629325;asterisk04;0.625371;asterisk04;0.622162;N05;0.620081;N05;0.620081;pitchfork04;0.619291;asterisk05;0.619161;asterisk04;0.618576;asterisk05;0.617125;asterisk05;0.615587;asterisk05;0.610181;N05;0.608653;
28,asterisk,1,2,32,28-D08-1;28-D07-1;28-H08-1;28-H09-1;28-I03-1;28-I05-1;28-P01-1;28-N08-1;28-P10-1;28-P06-1;28-T06-1;28-T03-1;28-X05-1;28-X07-1;28-arrowhead02-1;28-arrowhead07-1;28-asterisk04-1;28-asterisk04-1;28-exclamation_point02-1;28-exclamation_point03-1;28-five_point_star10-1;28-five_point_star04-1;28-half_note09-1;28-half_note10-1;28-line07-1;28-line06-1;28-pitchfork01-1;28-null07-1;28-pitchfork05-1;28-six_point_star01-1;28-six_point_star05-1;28-six_point_star08-1;,28-asterisk02,asterisk,1,0.900082,28-asterisk04,asterisk04;0.900082;asterisk04;0.900082;asterisk04;0.858072;asterisk04;0.858072;asterisk04;0.82802;asterisk04;0.82802;asterisk04;0.809271;asterisk04;0.809271;asterisk04;0.801296;asterisk04;0.801296;asterisk04;0.732233;asterisk04;0.732233;H08;0.694466;asterisk04;0.688696;asterisk04;0.688696;six_point_star01;0.68383;six_point_star05;0.675574;H09;0.663636;asterisk04;0.663444;asterisk04;0.663444;asterisk04;0.65986;asterisk04;0.65986;asterisk04;0.655567;asterisk04;0.655567;asterisk04;0.650429;asterisk04;0.650429;P06;0.644803;P10;0.638753;asterisk04;0.631666;asterisk04;0.631666;asterisk04;0.631184;asterisk04;0.631184;six_point_star01;0.622578;null07;0.618029;N08;0.617333;N08;0.617082;I03;0.615693;null07;0.613091;asterisk04;0.612545;asterisk04;0.612545;asterisk04;0.612037;asterisk04;0.612037;asterisk04;0.610087;asterisk04;0.610087;P01;0.607651;asterisk04;0.60731;asterisk04;0.60731;N08;0.605942;H09;0.603545;I05;0.601803;
28,null,2,2,32,28-D10-2;28-D10-2;28-H10-2;28-H06-2;28-I08-2;28-I09-2;28-N09-2;28-N05-2;28-P02-2;28-P03-2;28-T02-2;28-T06-2;28-arrowhead01-2;28-arrowhead01-2;28-arrowhead08-2;28-arrowhead10-2;28-exclamation_point01-2;28-asterisk10-2;28-exclamation_point04-2;28-exclamation_point09-2;28-five_point_star04-2;28-five_point_star03-2;28-line01-2;28-half_note03-2;28-line05-2;28-line02-2;28-null02-2;28-null10-2;28-pitchfork03-2;28-pitchfork03-2;28-six_point_star04-2;28-six_point_star02-2;,28-null03,null,1,0.880809,28-null10,null10;0.880809;null02;0.879106;pitchfork03;0.659654;pitchfork03;0.659654;I09;0.641965;N05;0.640944;N09;0.627756;N05;0.627595;N09;0.62354;N05;0.60024;N09;0.596379;I08;0.594809;I09;0.592877;I08;0.590357;N09;0.589906;I08;0.586046;N05;0.584555;I09;0.583945;I09;0.582491;I08;0.581429;N09;0.580683;N05;0.580341;N05;0.576605;I08;0.573887;P02;0.57273;N09;0.564278;I09;0.557766;N09;0.553993;I08;0.546669;I09;0.542412;arrowhead01;0.542377;arrowhead01;0.542377;I08;0.542353;N05;0.539296;N05;0.534615;N09;0.529414;I09;0.524369;N09;0.519888;arrowhead10;0.516734;I09;0.515741;I08;0.515391;D10;0.510681;D10;0.510681;I09;0.502162;N09;0.499638;T06;0.494504;I09;0.493635;N05;0.492653;N09;0.490483;N05;0.490221;
28,null,1,3,32,28-D05-1;28-D06-1;28-H09-1;28-H03-1;28-I10-1;28-I05-1;28-N03-1;28-N08-1;28-P09-1;28-P04-1;28-T10-1;28-T05-1;28-X02-1;28-X07-1;28-arrowhead06-1;28-arrowhead06-1;28-asterisk10-1;28-asterisk04-1;28-exclamation_point03-1;28-exclamation_point09-1;28-five_point_star06-1;28-five_point_star08-1;28-half_note03-1;28-half_note03-1;28-null01-1;28-line10-1;28-null03-1;28-null02-1;28-pitchfork05-1;28-pitchfork05-1;28-six_point_star06-1;28-six_point_star05-1;,28-null08,null,1,0.883188,28-null03,null03;0.883188;null01;0.881219;null02;0.861063;I05;0.6496;I10;0.624964;I05;0.618067;I10;0.614278;I10;0.602451;P09;0.598688;I05;0.580915;P09;0.559603;I05;0.541236;D06;0.518097;D05;0.517102;I10;0.513291;I05;0.498307;arrowhead06;0.494487;arrowhead06;0.494487;I10;0.490649;null02;0.481996;null03;0.479511;null01;0.472044;I05;0.467891;D05;0.457556;I05;0.380303;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
28,five_point_star,2,3,32,28-D06-2;28-H01-2;28-H04-2;28-H09-2;28-I07-2;28-I06-2;28-N08-2;28-N06-2;28-T01-2;28-P09-2;28-T07-2;28-T07-2;28-X07-2;28-X04-2;28-arrowhead08-2;28-arrowhead05-2;28-asterisk06-2;28-asterisk08-2;28-exclamation_point08-2;28-exclamation_point04-2;28-five_point_star07-2;28-five_point_star06-2;28-line01-2;28-half_note09-2;28-line07-2;28-line03-2;28-null07-2;28-null10-2;28-pitchfork09-2;28-pitchfork04-2;28-six_point_star07-2;28-six_point_star08-2;,28-five_point_star02,five_point_star,1,0.882995,28-five_point_star06,five_point_star06;0.882995;five_point_star07;0.880592;asterisk08;0.848884;asterisk06;0.820326;asterisk06;0.750507;H04;0.747255;asterisk08;0.746422;asterisk08;0.741935;asterisk08;0.734082;asterisk06;0.722024;asterisk06;0.721411;asterisk08;0.712012;asterisk06;0.711623;I07;0.707382;asterisk06;0.704941;asterisk08;0.695449;asterisk08;0.693811;H09;0.692922;asterisk08;0.692797;H04;0.691548;I07;0.686685;asterisk08;0.682361;asterisk06;0.678721;H01;0.678666;H04;0.675037;asterisk06;0.673033;asterisk06;0.672707;H01;0.670979;six_point_star07;0.668855;N08;0.66802;N08;0.665582;I06;0.665077;asterisk08;0.6635;N08;0.661891;asterisk06;0.658801;N08;0.658126;null07;0.651348;asterisk08;0.650912;N06;0.650504;six_point_star08;0.649974;N06;0.645989;N08;0.644295;six_point_star08;0.644274;N08;0.643201;null10;0.638446;asterisk06;0.636749;asterisk06;0.635333;N06;0.633798;asterisk08;0.631993;asterisk06;0.629428;
28,arrowhead,1,4,32,28-D06-1;28-D10-1;28-H03-1;28-H09-1;28-I07-1;28-I09-1;28-N05-1;28-N05-1;28-P09-1;28-P06-1;28-T07-1;28-T09-1;28-X07-1;28-X07-1;28-asterisk01-1;28-arrowhead08-1;28-asterisk06-1;28-asterisk06-1;28-exclamation_point09-1;28-exclamation_point07-1;28-five_point_star03-1;28-five_point_star06-1;28-half_note09-1;28-half_note10-1;28-line03-1;28-line09-1;28-null04-1;28-null08-1;28-pitchfork03-1;28-pitchfork04-1;28-six_point_star06-1;28-six_point_star02-1;,28-arrowhead05,arrowhead,1,0.896975,28-arrowhead08,arrowhead08;0.896975;T07;0.871008;T09;0.860513;exclamation_point09;0.733529;exclamation_point09;0.730268;exclamation_point07;0.729174;exclamation_point07;0.725845;exclamation_point09;0.724045;exclamation_point09;0.723489;exclamation_point07;0.722622;exclamation_point07;0.722548;X07;0.717745;X07;0.717745;line03;0.714736;line09;0.713311;line09;0.705614;line03;0.704375;exclamation_point07;0.700593;exclamation_point07;0.699895;X07;0.695684;X07;0.695684;exclamation_point09;0.692864;exclamation_point09;0.690846;H03;0.68897;pitchfork04;0.682113;X07;0.67782;X07;0.67782;pitchfork03;0.674365;half_note10;0.672736;H09;0.669473;T09;0.666934;T07;0.651505;X07;0.641088;X07;0.641088;half_note09;0.627902;null08;0.599101;arrowhead08;0.595862;P09;0.586043;T09;0.585188;null04;0.581516;T07;0.578738;T07;0.57562;D06;0.573313;T09;0.569224;null08;0.566961;H09;0.565704;asterisk01;0.564931;H09;0.563787;five_point_star06;0.562669;pitchfork04;0.558192;
28,line,2,4,32,28-D03-2;28-D04-2;28-H03-2;28-I01-2;28-N01-2;28-I06-2;28-N05-2;28-N08-2;28-T01-2;28-P09-2;28-T07-2;28-T04-2;28-X02-2;28-X10-2;28-arrowhead10-2;28-arrowhead03-2;28-asterisk04-2;28-asterisk06-2;28-exclamation_point09-2;28-five_point_star01-2;28-five_point_star08-2;28-five_point_star10-2;28-half_note06-2;28-half_note07-2;28-line09-2;28-line06-2;28-null07-2;28-null02-2;28-pitchfork10-2;28-pitchfork07-2;28-six_point_star08-2;28-six_point_star07-2;,28-line04,line,1,0.992843,28-line09,line09;0.992843;line09;0.983735;line06;0.983667;exclamation_point09;0.976476;exclamation_point09;0.974392;line06;0.97232;exclamation_point09;0.9617;exclamation_point09;0.959619;half_note06;0.861406;half_note06;0.816625;arrowhead10;0.711168;arrowhead03;0.709947;T01;0.702782;T04;0.702336;T01;0.701149;arrowhead10;0.692488;T04;0.684802;T04;0.682307;arrowhead03;0.680347;T01;0.679737;T07;0.679138;T01;0.677376;T07;0.675999;T07;0.672981;T04;0.672857;exclamation_point09;0.655544;exclamation_point09;0.654594;T07;0.651499;half_note07;0.631012;P09;0.617992;H03;0.611613;T04;0.609542;half_note07;0.606985;T01;0.600281;T07;0.588813;arrowhead03;0.570999;pitchfork07;0.570911;P09;0.564729;N05;0.535387;asterisk04;0.531822;I01;0.530392;pitchfork10;0.529321;N01;0.527903;N01;0.527387;asterisk04;0.526535;N08;0.522153;pitchfork07;0.520598;N05;0.51986;pitchfork07;0.518748;N05;0.517581;
28,H,1,5,32,28-D07-1;28-H01-1;28-I01-1;28-H09-1;28-I08-1;28-I03-1;28-N06-1;28-N07-1;28-P02-1;28-P07-1;28-T07-1;28-T10-1;28-X10-1;28-X09-1;28-arrowhead02-1;28-asterisk01-1;28-asterisk06-1;28-asterisk08-1;28-exclamation_point03-1;28-exclamation_point06-1;28-half_note01-1;28-five_point_star05-1;28-half_note04-1;28-line01-1;28-line03-1;28-line07-1;28-null03-1;28-null02-1;28-pitchfork02-1;28-pitchfork04-1;28-six_point_star06-1;28-six_point_star08-1;,28-H10,H,1,0.939077,28-H01,H01;0.939077;H01;0.932307;H09;0.877631;I03;0.877412;I03;0.876139;I01;0.868726;H09;0.866191;I08;0.863648;I08;0.859606;I01;0.847836;N06;0.767918;N06;0.76362;N06;0.748444;N06;0.745903;H09;0.743865;H01;0.741757;I03;0.741265;I03;0.741202;H01;0.740389;I03;0.739125;asterisk08;0.73851;N07;0.734385;N07;0.734011;H01;0.733801;H01;0.733419;H09;0.733013;I01;0.732207;asterisk01;0.731699;H09;0.727918;H01;0.719029;asterisk08;0.717064;N07;0.715921;I03;0.715847;I01;0.714308;I08;0.714279;N07;0.707646;P02;0.700498;H09;0.700009;P07;0.695609;I08;0.694659;I08;0.692941;I01;0.690602;half_note01;0.690197;I01;0.683868;H09;0.679554;asterisk08;0.679322;N07;0.678387;T10;0.677435;T07;0.676491;H01;0.675386;
28,half_note,2,5,32,28-D07-2;28-D09-2;28-H03-2;28-H10-2;28-I08-2;28-I08-2;28-N06-2;28-N03-2;28-P02-2;28-P09-2;28-T03-2;28-T09-2;28-X08-2;28-X04-2;28-asterisk01-2;28-arrowhead05-2;28-asterisk02-2;28-asterisk07-2;28-exclamation_point03-2;28-exclamation_point07-2;28-five_point_star06-2;28-five_point_star02-2;28-half_note04-2;28-half_note04-2;28-line09-2;28-line10-2;28-null04-2;28-pitchfork01-2;28-pitchfork06-2;28-pitchfork05-2;28-six_point_star08-2;28-six_point_star10-2;,28-half_note07,half_note,1,0.939896,28-half_note04,half_note04;0.939896;half_note04;0.939896;P09;0.842065;N06;0.770532;P02;0.767485;N03;0.767059;T03;0.75296;N03;0.749839;N06;0.746765;arrowhead05;0.74006;T09;0.713858;H03;0.70037;I08;0.69917;I08;0.69917;P02;0.694146;H10;0.693336;H03;0.689985;I08;0.689015;I08;0.689015;N06;0.687699;H03;0.68685;H10;0.683529;P09;0.683163;H10;0.681735;H10;0.68171;I08;0.677761;I08;0.677761;I08;0.67412;I08;0.67412;I08;0.673271;I08;0.673271;T03;0.671852;N03;0.671532;I08;0.671031;I08;0.671031;H10;0.670511;H10;0.667046;N03;0.664187;T09;0.663157;N06;0.656652;H03;0.650603;half_note04;0.64751;half_note04;0.64751;asterisk07;0.643627;D09;0.63229;exclamation_point03;0.629088;exclamation_point03;0.627497;line09;0.62748;line10;0.626985;line10;0.626103;
28,pitchfork,1,6,32,28-D04-1;28-H01-1;28-H08-1;28-H09-1;28-I05-1;28-I09-1;28-N10-1;28-N06-1;28-P02-1;28-P10-1;28-T08-1;28-T08-1;28-X09-1;28-X02-1;28-arrowhead08-1;28-arrowhead06-1;28-asterisk04-1;28-asterisk08-1;28-exclamation_point08-1;28-exclamation_point10-1;28-five_point_star08-1;28-half_note01-1;28-half_note08-1;28-half_note07-1;28-null01-1;28-line07-1;28-null06-1;28-null02-1;28-pitchfork04-1;28-pitchfork03-1;28-six_point_star08-1;28-six_point_star07-1;,28-pitchfork08,pitchfork,1,0.945537,28-pitchfork04,pitchfork04;0.945537;pitchfork03;0.896929;pitchfork03;0.781289;null01;0.701761;null06;0.648172;I05;0.630705;H09;0.629409;I05;0.622982;N06;0.618731;H01;0.617141;H08;0.614367;I09;0.60891;H01;0.604826;I09;0.603908;six_point_star07;0.601747;H08;0.601188;N10;0.599384;I09;0.599092;N06;0.598423;N10;0.598311;N10;0.597749;H01;0.596746;I05;0.59632;H09;0.595514;H09;0.595095;six_point_star07;0.594827;I09;0.594434;N10;0.594073;N06;0.59324;H09;0.592858;H01;0.591505;I09;0.591117;N06;0.591015;H01;0.590999;I05;0.588792;H08;0.588642;N10;0.586013;I05;0.585199;N10;0.585148;H08;0.582253;P02;0.580699;H09;0.577074;H01;0.577026;N06;0.575771;H09;0.575541;I05;0.574238;N06;0.572767;N10;0.57147;I09;0.57141;N06;0.57101;
28,pitchfork,2,6,32,28-D07-2;28-D10-2;28-H04-2;28-H05-2;28-I06-2;28-I06-2;28-N03-2;28-P01-2;28-P02-2;28-P03-2;28-T05-2;28-T02-2;28-X07-2;28-X10-2;28-asterisk01-2;28-arrowhead08-2;28-asterisk08-2;28-asterisk09-2;28-exclamation_point10-2;28-exclamation_point05-2;28-five_point_star06-2;28-five_point_star05-2;28-half_note09-2;28-half_note05-2;28-line07-2;28-line08-2;28-null10-2;28-null10-2;28-pitchfork09-2;28-pitchfork04-2;28-six_point_star07-2;28-six_point_star07-2;,28-pitchfork09,pitchfork,1,0.998871,28-pitchfork09,pitchfork09;0.998871;pitchfork04;0.94397;pitchfork04;0.828301;pitchfork09;0.79747;T05;0.750177;X10;0.70821;X07;0.704043;null10;0.657595;null10;0.657595;I06;0.63194;I06;0.63194;N03;0.620672;H04;0.620331;I06;0.613858;I06;0.613858;H04;0.602521;H04;0.602135;H05;0.601126;N03;0.597443;N03;0.595363;H04;0.59498;I06;0.592525;I06;0.592525;H04;0.592454;H05;0.591426;six_point_star07;0.591326;six_point_star07;0.591326;I06;0.591031;I06;0.591031;six_point_star07;0.590875;six_point_star07;0.590875;I06;0.588334;I06;0.588334;H05;0.585776;H05;0.584351;P02;0.582553;H05;0.581086;H05;0.581016;I06;0.575893;I06;0.575893;I06;0.575462;I06;0.575462;H05;0.575218;H04;0.574104;P03;0.568078;H05;0.562798;H04;0.558101;I06;0.558062;I06;0.558062;I06;0.558046;
28,H,1,7,32,28-D09-1;28-D08-1;28-I01-1;28-H05-1;28-I09-1;28-I03-1;28-N02-1;28-N09-1;28-P04-1;28-P03-1;28-T07-1;28-T02-1;28-X05-1;28-X09-1;28-arrowhead02-1;28-arrowhead06-1;28-asterisk02-1;28-asterisk04-1;28-exclamation_point07-1;28-exclamation_point07-1;28-half_note01-1;28-five_point_star10-1;28-half_note04-1;28-half_note09-1;28-line04-1;28-line03-1;28-null02-1;28-null04-1;28-pitchfork08-1;28-pitchfork05-1;28-six_point_star02-1;28-six_point_star05-1;,28-H07,H,1,0.900145,28-H05,H05;0.900145;I03;0.893979;H05;0.893682;I09;0.869247;I03;0.852301;I01;0.833426;I01;0.830671;N02;0.825102;I09;0.811752;N02;0.761677;N09;0.745395;six_point_star05;0.742314;I03;0.736478;I09;0.728535;N09;0.726625;H05;0.714819;N02;0.709103;N09;0.697959;I01;0.692988;H05;0.690429;six_point_star02;0.68809;N09;0.679339;I09;0.679229;N02;0.677997;I03;0.67259;asterisk04;0.672392;asterisk02;0.642748;I09;0.636784;I01;0.635589;I09;0.634226;N09;0.630906;asterisk02;0.625477;pitchfork05;0.623879;H05;0.623412;I03;0.623088;I03;0.621168;I01;0.6196;H05;0.617694;N02;0.617447;asterisk04;0.614435;N02;0.614075;asterisk04;0.595538;N09;0.595077;six_point_star05;0.594375;N09;0.587575;I01;0.586195;N02;0.585136;I03;0.578283;N02;0.57811;I01;0.576741;
