User[all-users],GestureType[all-gesture-types],RandomIteration[1to10],#ofTrainingExample[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
98,N,1,1,16,98-D05-1;98-I01-1;98-I03-1;98-N04-1;98-P08-1;98-T08-1;98-X09-1;98-arrowhead08-1;98-asterisk09-1;98-exclamation_point08-1;98-five_point_star10-1;98-half_note04-1;98-line07-1;98-null09-1;98-pitchfork07-1;98-six_point_star05-1;,98-N03,N,1,0.946017,98-N04,N04;0.946017;N04;0.764991;I01;0.744232;I01;0.732888;I03;0.699734;I03;0.697259;I03;0.68774;I03;0.68004;I01;0.671324;I01;0.67048;N04;0.65028;N04;0.64167;I03;0.595028;N04;0.592154;I01;0.591063;N04;0.583923;I01;0.582717;I03;0.581224;I01;0.58017;I03;0.57259;I01;0.56659;N04;0.565433;I03;0.561523;I03;0.554704;I03;0.550675;I03;0.543153;I03;0.539545;I01;0.538662;I03;0.533378;I03;0.532255;D05;0.530975;T08;0.529532;I01;0.528777;arrowhead08;0.523912;I01;0.523732;I03;0.523639;I01;0.517107;I01;0.512481;I01;0.510469;N04;0.505888;D05;0.501559;half_note04;0.497423;I01;0.496445;I01;0.493614;N04;0.491765;I03;0.491332;half_note04;0.490699;N04;0.481269;T08;0.479788;D05;0.474558;
98,I,2,1,16,98-D04-2;98-H08-2;98-I04-2;98-N02-2;98-P09-2;98-T02-2;98-X07-2;98-arrowhead10-2;98-asterisk10-2;98-five_point_star01-2;98-five_point_star04-2;98-half_note04-2;98-null01-2;98-null08-2;98-pitchfork06-2;98-six_point_star04-2;,98-I08,H,0,0.895972,98-H08,H08;0.895972;H08;0.869824;I04;0.869792;I04;0.796762;N02;0.709002;N02;0.68636;H08;0.619733;I04;0.614536;I04;0.59761;H08;0.597093;I04;0.587895;N02;0.58017;H08;0.570646;asterisk10;0.549354;asterisk10;0.543159;I04;0.540931;N02;0.526459;asterisk10;0.504469;D04;0.504372;H08;0.503488;D04;0.503122;asterisk10;0.501662;asterisk10;0.499825;N02;0.498262;five_point_star01;0.482428;asterisk10;0.476367;T02;0.473213;six_point_star04;0.471432;asterisk10;0.469766;N02;0.46868;asterisk10;0.463464;H08;0.459444;five_point_star04;0.453841;asterisk10;0.451928;asterisk10;0.450581;asterisk10;0.448084;half_note04;0.444238;N02;0.443642;asterisk10;0.442778;I04;0.438649;N02;0.435913;asterisk10;0.434656;asterisk10;0.434375;N02;0.433365;N02;0.427803;P09;0.426378;N02;0.422651;asterisk10;0.420123;six_point_star04;0.417144;asterisk10;0.416535;
98,half_note,3,1,16,98-H01-3;98-H09-3;98-I07-3;98-N07-3;98-T01-3;98-T06-3;98-X05-3;98-arrowhead03-3;98-asterisk04-3;98-exclamation_point05-3;98-five_point_star03-3;98-half_note10-3;98-line08-3;98-null07-3;98-six_point_star01-3;98-six_point_star02-3;,98-half_note03,half_note,1,0.791161,98-half_note10,half_note10;0.791161;half_note10;0.46099;arrowhead03;0.436292;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
98,five_point_star,4,1,16,98-D09-4;98-H09-4;98-N01-4;98-N04-4;98-P08-4;98-T07-4;98-X04-4;98-arrowhead06-4;98-asterisk06-4;98-five_point_star01-4;98-five_point_star02-4;98-line01-4;98-line07-4;98-null04-4;98-pitchfork07-4;98-six_point_star08-4;,98-five_point_star08,five_point_star,1,0.789775,98-five_point_star02,five_point_star02;0.789775;five_point_star01;0.786465;asterisk06;0.754312;H09;0.725457;asterisk06;0.712921;N04;0.707473;asterisk06;0.69047;asterisk06;0.689373;N01;0.686043;N01;0.684727;null04;0.684447;six_point_star08;0.67786;asterisk06;0.677726;asterisk06;0.67002;N04;0.66887;N04;0.666442;N04;0.665821;N04;0.660892;H09;0.659091;asterisk06;0.657699;N01;0.655447;null04;0.650616;N01;0.650586;N01;0.646841;asterisk06;0.645662;N04;0.640225;N04;0.630389;N04;0.609552;N01;0.609211;asterisk06;0.609165;asterisk06;0.605519;asterisk06;0.60438;asterisk06;0.602293;asterisk06;0.600907;N01;0.599739;asterisk06;0.594268;asterisk06;0.591085;six_point_star08;0.586869;H09;0.584529;N04;0.57783;pitchfork07;0.577535;N01;0.569995;N04;0.568079;H09;0.567261;six_point_star08;0.56629;arrowhead06;0.565775;N04;0.557681;N01;0.556327;H09;0.55548;asterisk06;0.553649;
98,half_note,5,1,16,98-D03-5;98-H02-5;98-I09-5;98-N06-5;98-T01-5;98-T10-5;98-X10-5;98-arrowhead05-5;98-asterisk03-5;98-exclamation_point08-5;98-five_point_star03-5;98-half_note06-5;98-line05-5;98-null10-5;98-pitchfork07-5;98-six_point_star07-5;,98-half_note04,half_note,1,0.923773,98-half_note06,half_note06;0.923773;T01;0.79051;N06;0.767466;T10;0.73846;N06;0.72074;T10;0.696038;T01;0.679085;I09;0.673177;arrowhead05;0.671558;I09;0.650511;H02;0.648917;I09;0.648465;N06;0.645502;N06;0.628595;H02;0.624232;H02;0.623939;half_note06;0.62248;arrowhead05;0.614372;I09;0.61217;D03;0.611471;I09;0.603375;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599911;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;exclamation_point08;0.599272;H02;0.596906;line05;0.596503;line05;0.595165;X10;0.593815;H02;0.593657;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;exclamation_point08;0.578756;
98,pitchfork,6,1,16,98-D02-6;98-H03-6;98-N01-6;98-N05-6;98-P05-6;98-T04-6;98-X03-6;98-arrowhead09-6;98-asterisk05-6;98-exclamation_point06-6;98-five_point_star02-6;98-half_note08-6;98-line08-6;98-null06-6;98-pitchfork06-6;98-six_point_star04-6;,98-pitchfork06,pitchfork,1,0.998831,98-pitchfork06,pitchfork06;0.998831;null06;0.773937;N01;0.652516;H03;0.650849;N05;0.648011;N05;0.639768;arrowhead09;0.63966;H03;0.638329;H03;0.63429;N01;0.633899;N05;0.617781;N05;0.616074;H03;0.615397;N01;0.606151;N05;0.604488;N01;0.598129;H03;0.597139;H03;0.594222;D02;0.593944;N01;0.593204;six_point_star04;0.5914;N01;0.590255;N01;0.588582;H03;0.586715;N01;0.58286;N05;0.582394;N01;0.582359;N01;0.580948;N05;0.578584;N05;0.576684;H03;0.574597;N05;0.572811;N05;0.572508;N05;0.56873;N05;0.564159;N01;0.559471;H03;0.555816;H03;0.549942;H03;0.542005;N01;0.526749;P05;0.520356;H03;0.519477;H03;0.518311;six_point_star04;0.516657;H03;0.510351;H03;0.505572;arrowhead09;0.483507;N01;0.482231;D02;0.480512;T04;0.474988;
98,D,7,1,16,98-D04-7;98-H07-7;98-I08-7;98-N02-7;98-P05-7;98-T10-7;98-X02-7;98-arrowhead06-7;98-exclamation_point01-7;98-exclamation_point05-7;98-five_point_star10-7;98-half_note06-7;98-line09-7;98-null09-7;98-pitchfork10-7;98-six_point_star03-7;,98-D04,D,1,0.998576,98-D04,D04;0.998576;N02;0.792795;I08;0.776517;N02;0.759698;I08;0.753506;H07;0.737679;H07;0.727148;H07;0.660504;H07;0.658913;N02;0.650617;N02;0.638311;N02;0.628317;N02;0.61001;I08;0.608317;H07;0.597651;I08;0.585663;H07;0.577178;N02;0.575338;I08;0.575218;H07;0.575203;H07;0.571082;N02;0.570537;arrowhead06;0.569741;N02;0.566333;P05;0.554271;I08;0.551893;N02;0.549933;six_point_star03;0.549011;I08;0.539829;T10;0.539718;null09;0.536786;H07;0.527761;I08;0.52766;N02;0.5271;I08;0.527045;H07;0.525869;H07;0.523891;H07;0.521705;half_note06;0.520134;N02;0.519293;I08;0.504372;N02;0.504091;H07;0.500196;H07;0.498493;I08;0.496402;N02;0.495818;H07;0.493658;N02;0.489744;N02;0.485559;exclamation_point05;0.484123;
98,I,8,1,16,98-D09-8;98-H04-8;98-I04-8;98-N08-8;98-P07-8;98-T02-8;98-X10-8;98-arrowhead06-8;98-asterisk08-8;98-exclamation_point10-8;98-five_point_star05-8;98-half_note07-8;98-null01-8;98-null03-8;98-pitchfork04-8;98-six_point_star10-8;,98-I10,I,1,0.873942,98-I04,I04;0.873942;H04;0.845318;I04;0.800402;H04;0.789975;N08;0.683709;N08;0.678421;N08;0.660047;H04;0.604903;N08;0.599586;N08;0.594214;I04;0.589473;I04;0.578453;I04;0.577272;I04;0.574506;H04;0.561575;H04;0.555145;five_point_star05;0.553064;asterisk08;0.548403;six_point_star10;0.538325;asterisk08;0.512303;H04;0.510402;asterisk08;0.507844;H04;0.507058;asterisk08;0.505362;asterisk08;0.503043;asterisk08;0.501549;asterisk08;0.500085;H04;0.496138;H04;0.487007;H04;0.483832;H04;0.479269;exclamation_point10;0.476595;exclamation_point10;0.47617;H04;0.475532;exclamation_point10;0.475269;exclamation_point10;0.47479;asterisk08;0.469235;asterisk08;0.468577;asterisk08;0.464875;N08;0.462315;asterisk08;0.461066;H04;0.460853;T02;0.453002;D09;0.449066;D09;0.442282;I04;0.442163;N08;0.440184;N08;0.438879;H04;0.434995;N08;0.433252;
98,null,9,1,16,98-D07-9;98-H07-9;98-I05-9;98-N09-9;98-P03-9;98-T10-9;98-X04-9;98-arrowhead07-9;98-asterisk04-9;98-exclamation_point07-9;98-five_point_star07-9;98-half_note03-9;98-line05-9;98-null05-9;98-pitchfork08-9;98-six_point_star07-9;,98-null03,null,1,0.923487,98-null05,null05;0.923487;P03;0.688928;D07;0.672664;null05;0.583442;P03;0.568395;arrowhead07;0.561939;D07;0.47994;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
98,null,1,2,32,98-H01-1;98-D07-1;98-H06-1;98-H02-1;98-I04-1;98-I02-1;98-N07-1;98-N09-1;98-T01-1;98-P10-1;98-X01-1;98-T07-1;98-X08-1;98-X05-1;98-asterisk01-1;98-arrowhead08-1;98-asterisk08-1;98-asterisk10-1;98-exclamation_point08-1;98-five_point_star01-1;98-five_point_star06-1;98-five_point_star09-1;98-half_note10-1;98-half_note05-1;98-line09-1;98-line03-1;98-null07-1;98-null07-1;98-pitchfork06-1;98-pitchfork04-1;98-six_point_star08-1;98-six_point_star10-1;,98-null05,null,1,0.909591,98-null07,null07;0.909591;null07;0.909591;pitchfork06;0.703432;I02;0.700715;D07;0.695039;I02;0.688095;I04;0.68165;I04;0.649954;I04;0.636995;I02;0.633247;H02;0.628753;I04;0.628395;N09;0.613052;N09;0.612545;I02;0.608819;P10;0.603366;I02;0.573371;arrowhead08;0.572349;I04;0.555882;I02;0.551843;I04;0.539103;I04;0.537388;I02;0.531271;D07;0.525765;I02;0.51978;I04;0.510859;I02;0.509502;null07;0.498132;null07;0.498132;I04;0.485364;I02;0.479652;I04;0.438906;I02;0.437183;I02;0.436609;I02;0.413565;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;
98,pitchfork,2,2,32,98-D09-2;98-D03-2;98-H02-2;98-H07-2;98-I06-2;98-I04-2;98-N04-2;98-N05-2;98-P07-2;98-P04-2;98-T09-2;98-T10-2;98-X03-2;98-X07-2;98-arrowhead06-2;98-arrowhead04-2;98-asterisk09-2;98-asterisk04-2;98-exclamation_point03-2;98-exclamation_point02-2;98-five_point_star05-2;98-five_point_star08-2;98-half_note04-2;98-half_note06-2;98-line02-2;98-line10-2;98-null09-2;98-null02-2;98-six_point_star01-2;98-pitchfork07-2;98-six_point_star10-2;98-six_point_star09-2;,98-pitchfork08,pitchfork,1,0.952840,98-pitchfork07,pitchfork07;0.95284;X07;0.70832;X07;0.671183;null02;0.669427;arrowhead04;0.639833;arrowhead06;0.623927;N04;0.620917;I06;0.613625;I06;0.612214;H07;0.611631;N04;0.611616;H07;0.609023;I04;0.607363;H07;0.606888;N05;0.605567;N05;0.603561;I04;0.602854;N05;0.601896;I06;0.599988;I04;0.598606;N05;0.597833;N05;0.59728;I06;0.594868;N04;0.594762;I06;0.594235;H07;0.592436;I06;0.591562;N04;0.586976;I06;0.586203;I06;0.586056;six_point_star01;0.584883;I04;0.582922;H07;0.582647;I04;0.581236;H02;0.581202;H02;0.580825;N05;0.580823;N04;0.579407;six_point_star09;0.577562;N05;0.576741;N04;0.576239;P04;0.574937;H07;0.574109;H02;0.574006;H02;0.573695;N05;0.572838;six_point_star10;0.572595;I04;0.571823;I04;0.571562;N05;0.571258;
98,six_point_star,3,2,32,98-D02-3;98-H01-3;98-H08-3;98-H04-3;98-I03-3;98-I06-3;98-N02-3;98-N08-3;98-T01-3;98-P09-3;98-T03-3;98-T08-3;98-X07-3;98-X04-3;98-arrowhead08-3;98-arrowhead06-3;98-asterisk05-3;98-asterisk09-3;98-exclamation_point09-3;98-exclamation_point10-3;98-five_point_star02-3;98-five_point_star03-3;98-half_note02-3;98-half_note02-3;98-line03-3;98-line09-3;98-null03-3;98-null07-3;98-pitchfork04-3;98-pitchfork06-3;98-six_point_star05-3;98-six_point_star06-3;,98-six_point_star01,six_point_star,1,0.815891,98-six_point_star06,six_point_star06;0.815891;six_point_star05;0.802247;six_point_star05;0.680807;H08;0.679998;six_point_star06;0.669938;null07;0.658204;I03;0.647885;H01;0.618725;five_point_star03;0.613882;H04;0.604012;six_point_star05;0.601579;H01;0.598944;six_point_star06;0.596876;H08;0.595212;H04;0.592978;five_point_star02;0.592601;H08;0.590552;H01;0.587462;null03;0.587288;H01;0.584379;H04;0.57888;I03;0.575822;pitchfork06;0.571264;H08;0.570167;pitchfork04;0.568378;H04;0.566075;six_point_star05;0.564461;six_point_star06;0.562756;I03;0.562739;I06;0.557907;pitchfork06;0.551631;asterisk05;0.550622;I06;0.546137;D02;0.539095;H01;0.532757;I03;0.531222;H08;0.530782;arrowhead06;0.530553;H08;0.529666;pitchfork04;0.529266;I06;0.528741;I03;0.520848;X04;0.518618;I06;0.517016;N02;0.516773;N02;0.514443;N02;0.51339;N08;0.513233;N02;0.512032;H08;0.511334;
98,six_point_star,4,2,32,98-D09-4;98-D03-4;98-H07-4;98-H08-4;98-N01-4;98-I04-4;98-N09-4;98-N06-4;98-P04-4;98-P07-4;98-T05-4;98-T05-4;98-X05-4;98-X10-4;98-asterisk01-4;98-arrowhead06-4;98-asterisk09-4;98-asterisk03-4;98-exclamation_point09-4;98-exclamation_point09-4;98-five_point_star08-4;98-five_point_star03-4;98-half_note03-4;98-half_note09-4;98-line07-4;98-line06-4;98-null09-4;98-null02-4;98-pitchfork05-4;98-pitchfork02-4;98-six_point_star10-4;98-six_point_star10-4;,98-six_point_star09,six_point_star,1,0.953475,98-six_point_star10,six_point_star10;0.953475;six_point_star10;0.953475;H08;0.68787;I04;0.670809;six_point_star10;0.665307;six_point_star10;0.665307;asterisk01;0.657044;null09;0.647198;H07;0.625783;six_point_star10;0.621219;six_point_star10;0.621219;five_point_star03;0.601469;D03;0.581882;H08;0.581656;H07;0.571825;I04;0.56902;H08;0.56876;five_point_star08;0.562978;I04;0.561456;D09;0.55821;six_point_star10;0.556879;six_point_star10;0.556879;H08;0.555909;pitchfork02;0.555243;I04;0.553503;pitchfork05;0.552099;asterisk01;0.55156;asterisk01;0.537598;I04;0.533683;arrowhead06;0.531631;asterisk03;0.530837;asterisk09;0.529895;H08;0.526142;asterisk03;0.524743;asterisk01;0.523254;I04;0.523222;X05;0.523188;asterisk03;0.521906;asterisk01;0.519787;H07;0.514031;H07;0.513939;H08;0.513163;H08;0.509099;I04;0.507327;P04;0.504915;H07;0.504117;H07;0.497856;N09;0.497081;null02;0.492389;P07;0.488451;
98,pitchfork,5,2,32,98-D08-5;98-H01-5;98-H07-5;98-H03-5;98-I06-5;98-I09-5;98-N06-5;98-N10-5;98-P07-5;98-P10-5;98-T08-5;98-X01-5;98-X05-5;98-X02-5;98-arrowhead05-5;98-arrowhead10-5;98-asterisk07-5;98-asterisk04-5;98-exclamation_point06-5;98-exclamation_point08-5;98-five_point_star03-5;98-five_point_star07-5;98-half_note06-5;98-line01-5;98-line07-5;98-line06-5;98-null04-5;98-null05-5;98-pitchfork05-5;98-pitchfork03-5;98-six_point_star02-5;98-six_point_star06-5;,98-pitchfork09,pitchfork,1,0.932150,98-pitchfork03,pitchfork03;0.93215;pitchfork05;0.821274;null05;0.675682;arrowhead05;0.651595;H03;0.6511;arrowhead10;0.649947;I09;0.646962;N10;0.644142;N10;0.64068;H03;0.629155;N06;0.624741;H03;0.623397;I09;0.622753;H07;0.622745;I06;0.622645;I06;0.622364;H07;0.619504;N06;0.617331;I06;0.616464;H07;0.616351;I06;0.616215;I09;0.611023;N10;0.610287;I09;0.609864;H01;0.609723;H07;0.605752;H01;0.605629;H03;0.60471;H01;0.604326;N10;0.600734;I09;0.60056;I06;0.599868;H03;0.599603;N06;0.599276;H03;0.599257;I06;0.5991;I06;0.598992;I06;0.597753;I09;0.597552;H01;0.597419;H01;0.596961;N06;0.595071;N06;0.593454;N10;0.592544;I09;0.592441;N10;0.591897;six_point_star06;0.589531;I06;0.58935;N06;0.588933;H01;0.588242;
98,X,6,2,32,98-D08-6;98-D04-6;98-H09-6;98-H04-6;98-N01-6;98-I10-6;98-N05-6;98-N09-6;98-P04-6;98-P06-6;98-T09-6;98-X01-6;98-X07-6;98-arrowhead01-6;98-arrowhead08-6;98-arrowhead04-6;98-asterisk08-6;98-asterisk07-6;98-exclamation_point06-6;98-exclamation_point08-6;98-five_point_star07-6;98-five_point_star04-6;98-half_note05-6;98-half_note04-6;98-null01-6;98-line08-6;98-null10-6;98-null02-6;98-pitchfork06-6;98-pitchfork06-6;98-six_point_star04-6;98-six_point_star10-6;,98-X09,X,1,0.950252,98-X01,X01;0.950252;X07;0.899454;X01;0.877147;X07;0.868103;X07;0.839113;X07;0.820993;X01;0.82093;X01;0.801048;null10;0.794589;pitchfork06;0.787427;pitchfork06;0.787427;asterisk08;0.767688;asterisk07;0.753868;N09;0.742682;arrowhead04;0.737413;null01;0.724155;N09;0.721836;arrowhead04;0.720558;N05;0.718113;N01;0.707708;N05;0.705593;arrowhead08;0.703817;asterisk08;0.689399;H04;0.687608;arrowhead01;0.684513;arrowhead01;0.679634;asterisk07;0.676978;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;exclamation_point08;0.675306;T09;0.672793;null10;0.672665;null02;0.67221;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;exclamation_point08;0.670424;arrowhead01;0.661954;T09;0.661937;arrowhead08;0.661709;arrowhead01;0.659088;
98,exclamation_point,7,2,32,98-D04-7;98-D06-7;98-H09-7;98-H07-7;98-I06-7;98-I08-7;98-N06-7;98-N07-7;98-P10-7;98-T01-7;98-T07-7;98-T02-7;98-X09-7;98-X06-7;98-arrowhead02-7;98-arrowhead04-7;98-asterisk05-7;98-exclamation_point01-7;98-exclamation_point10-7;98-exclamation_point08-7;98-five_point_star06-7;98-five_point_star03-7;98-half_note08-7;98-line01-7;98-null01-7;98-line07-7;98-null04-7;98-null06-7;98-pitchfork07-7;98-pitchfork02-7;98-six_point_star09-7;98-six_point_star06-7;,98-exclamation_point05,exclamation_point,1,0.975162,98-exclamation_point08,exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.975162;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;exclamation_point08;0.974932;line07;0.972387;line07;0.972275;exclamation_point10;0.970678;line01;0.970384;exclamation_point10;0.969737;line01;0.968309;exclamation_point10;0.967118;exclamation_point10;0.967109;exclamation_point01;0.922746;exclamation_point01;0.921132;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;exclamation_point08;0.731987;T01;0.708245;exclamation_point01;0.705104;T01;0.704425;exclamation_point01;0.70337;T01;0.695407;T02;0.687548;T02;0.687165;exclamation_point10;0.683077;exclamation_point10;0.680955;arrowhead04;0.672803;T07;0.671053;T02;0.669828;arrowhead02;0.666454;T07;0.662586;T02;0.662075;arrowhead04;0.654071;
98,pitchfork,8,2,32,98-D04-8;98-D10-8;98-H09-8;98-H05-8;98-I04-8;98-I10-8;98-N05-8;98-N03-8;98-P10-8;98-T01-8;98-T06-8;98-T05-8;98-X04-8;98-X10-8;98-arrowhead10-8;98-arrowhead03-8;98-asterisk03-8;98-asterisk03-8;98-exclamation_point09-8;98-exclamation_point05-8;98-five_point_star04-8;98-five_point_star10-8;98-half_note09-8;98-half_note07-8;98-null01-8;98-line07-8;98-null02-8;98-null06-8;98-pitchfork02-8;98-pitchfork03-8;98-six_point_star07-8;98-six_point_star10-8;,98-pitchfork02,pitchfork,1,0.998945,98-pitchfork02,pitchfork02;0.998945;pitchfork03;0.801556;X10;0.695458;X10;0.671344;I10;0.656525;I10;0.653518;H09;0.652791;T05;0.649294;pitchfork02;0.646751;X04;0.638422;N05;0.636835;N05;0.634779;X10;0.634568;X04;0.628975;H09;0.625836;N05;0.620298;exclamation_point05;0.616846;I04;0.6166;exclamation_point05;0.615755;H09;0.605159;N03;0.604798;null01;0.604131;N03;0.602525;exclamation_point09;0.60037;exclamation_point09;0.598732;six_point_star07;0.598402;line07;0.598356;H05;0.595195;null02;0.590894;six_point_star10;0.59043;asterisk03;0.584473;asterisk03;0.584473;H05;0.584009;H09;0.578583;I10;0.574535;H09;0.573872;pitchfork03;0.572552;H05;0.569641;H05;0.569463;pitchfork03;0.568785;H09;0.56784;N05;0.567752;I04;0.567394;N03;0.566388;arrowhead03;0.565664;N03;0.561757;N05;0.56071;I10;0.560281;I04;0.560153;I04;0.559953;
98,pitchfork,9,2,32,98-H01-9;98-D08-9;98-H04-9;98-H04-9;98-I09-9;98-I10-9;98-N07-9;98-N06-9;98-P08-9;98-P08-9;98-T07-9;98-T04-9;98-X02-9;98-X06-9;98-asterisk01-9;98-arrowhead07-9;98-asterisk06-9;98-asterisk02-9;98-exclamation_point06-9;98-exclamation_point08-9;98-five_point_star05-9;98-half_note01-9;98-half_note10-9;98-half_note08-9;98-null01-9;98-line07-9;98-null10-9;98-pitchfork01-9;98-pitchfork07-9;98-pitchfork09-9;98-six_point_star04-9;98-six_point_star10-9;,98-pitchfork07,pitchfork,1,0.998919,98-pitchfork07,pitchfork07;0.998919;pitchfork01;0.967347;pitchfork09;0.917802;pitchfork09;0.811562;pitchfork07;0.799866;X06;0.711508;T07;0.707768;X02;0.699244;X02;0.679442;X06;0.674486;N07;0.632626;arrowhead07;0.627205;H01;0.609906;H04;0.604625;H04;0.604625;I09;0.602633;I10;0.60252;H01;0.600447;N07;0.600229;I09;0.597182;N06;0.596585;H04;0.592563;H04;0.592563;H01;0.589531;N06;0.587728;H04;0.587005;H04;0.587005;I09;0.586993;six_point_star04;0.58546;I10;0.583863;P08;0.582984;P08;0.582984;N07;0.582863;I09;0.5813;I10;0.581131;six_point_star10;0.57728;I10;0.576954;N07;0.575708;H04;0.575362;H04;0.575362;I10;0.574833;N06;0.573984;N07;0.573293;I10;0.571678;H04;0.569182;H04;0.569182;H04;0.568474;H04;0.568474;N07;0.568359;N06;0.568238;
98,arrowhead,1,3,48,98-D10-1;98-D08-1;98-D06-1;98-H09-1;98-H09-1;98-H07-1;98-I02-1;98-I02-1;98-I04-1;98-N09-1;98-N02-1;98-N04-1;98-P07-1;98-P06-1;98-P05-1;98-T06-1;98-X01-1;98-X01-1;98-X05-1;98-X04-1;98-X09-1;98-asterisk01-1;98-arrowhead03-1;98-arrowhead02-1;98-asterisk08-1;98-asterisk08-1;98-asterisk09-1;98-exclamation_point02-1;98-exclamation_point09-1;98-exclamation_point09-1;98-five_point_star10-1;98-five_point_star07-1;98-five_point_star04-1;98-half_note06-1;98-half_note09-1;98-half_note02-1;98-line09-1;98-line05-1;98-line07-1;98-null02-1;98-null03-1;98-pitchfork01-1;98-pitchfork02-1;98-pitchfork07-1;98-pitchfork04-1;98-six_point_star05-1;98-six_point_star06-1;98-six_point_star09-1;,98-arrowhead08,T,0,0.877999,98-T06,T06;0.877999;arrowhead02;0.843326;arrowhead03;0.804663;pitchfork02;0.752534;exclamation_point02;0.738549;exclamation_point02;0.737433;exclamation_point02;0.736247;exclamation_point02;0.730345;line05;0.71312;line07;0.712915;line07;0.712402;line05;0.711261;line09;0.71119;line09;0.710689;exclamation_point09;0.710227;exclamation_point09;0.710227;exclamation_point09;0.709011;exclamation_point09;0.709011;exclamation_point09;0.708741;exclamation_point09;0.708741;exclamation_point09;0.707555;exclamation_point09;0.707555;X01;0.706894;X01;0.706894;H09;0.703278;H09;0.703278;I04;0.700948;H09;0.695998;H09;0.695998;X05;0.69587;I02;0.693209;I02;0.693209;exclamation_point09;0.691902;exclamation_point09;0.691902;pitchfork07;0.691692;N09;0.689646;N04;0.688516;exclamation_point09;0.688477;exclamation_point09;0.688477;pitchfork01;0.687043;H07;0.685988;X01;0.677317;X01;0.677317;X05;0.677172;X04;0.674879;X09;0.673455;H09;0.668239;H09;0.668239;X04;0.668131;X09;0.661709;
